Index,Acts number,Acts
,11 of 22,Part C States. They had before them Act
,12 of 22,Act No. XLIII of 1951. Section 8 of Act
,13 of 22,The companytention is that if section 7 of Act
,14 of 22,Act No. XLIII of 1951 was companyprised in section 17 of Act
,15 of 22,Election Tribunal held firstly that section 7 d of Act
,16 of 22,President might direct. Section 7 occurs in Part II of Act
,17 of 22,The companytention of the appellant is that Act
,18 of 22,"States, and Act"
,19 of 22,"Part II under section 8, section 7 of Act"
,20 of 22,Parliament shall be disqualified to be chosen under the Act
,21 of 22,Act No. XLIX of 1951 enacts that Parts I and III to XI of Act
,22 of 22,Act No. XLIX of 1951. The framers of that Act
117,1 of 1,Bar Councils Act
118,1 of 1,"Essential Supplies Temporary Powers Act, 1946"
119,1 of 1,"Essential Supplies Temporary Powers Act, 1946"
120,1 of 2,Income- tax Act
,2 of 2,Indian Income-tax Act
121,1 of 1,"Industrial Disputes Act, 1947"
122,1 of 1,Indian Income-tax Act
123,1 of 2,Income-tax Act
,2 of 2,Income tax Act
124,1 of 3,"Government of India Act, 1935"
,2 of 3,"Sarsons 1 on a companystruction of section 2 of the Ballot Act, 1872"
,3 of 3,"Government of India Act, 1915"
125,1 of 1,"Abducted Persons Recovery and Restoration Act, 1949"
126,1 of 4,District Magistrates ac
,2 of 4,"District Magistrate, therefore the ac"
,3 of 4,Regulation under which he purported to ac
,4 of 4,But the ac
127,1 of 2,Indian Sale of Goods Act
,2 of 2,List 2 of the Seventh Schedule of the Government of India Act
128,0 of 0,Empty
129,0 of 0,Empty
130,0 of 0,Empty
131,1 of 5,Upon an application under section 66 1 of the Act
,2 of 5,The relevant portion of section 10 of the Income-tax Act
,3 of 5,Indian Companies Act
,4 of 5,Income-tax Act as amended by Act
,5 of 5,Tribunal under section 66 1 of the Indian Income tax Act
132,1 of 5,"Public Servants Inquiries Act, 1850"
,2 of 5,"Then came the Government of India Act, 1935"
,3 of 5,"June, 1920, that is to say, after the Government of India Act, 1919"
,4 of 5,"December, 1919, when the Government of India Act, 1919"
,5 of 5,"Government of India Act, 1910"
133,0 of 0,Empty
134,0 of 0,Empty
135,1 of 9,Section 83 1 of the Act
,2 of 9,Limitation Act
,3 of 9,Under section 90 4 of the Act
,4 of 9,Tribunal by virtue of the order under section 86 of the Act
,5 of 9,Election Tribunal under section 86 of the Act
,6 of 9,"July, 1952 an order was passed under section 86 of the Act"
,7 of 9,Representation of the people Act
,8 of 9,Election Commission under section 85 of the Act
,9 of 9,The proviso to section 85 of the Act
136,1 of 2,Under section 205 of the Government of India Act
,2 of 2,Indian Independence Act
137,1 of 6,"Act that is, the Patna Administration Act, 1915"
,2 of 6,"Assessment of taxes-When the Patna Administration Act, 1915"
,3 of 6,"The High Court, purporting to apply In re The Delhi Laws Act, 1912"
,4 of 6,"Legislature enacted the Bihar and Orissa Municipal Act, 1922"
,5 of 6,"Patna Administra tion Act, 1915"
,6 of 6,"Act provided- ,, Any section of the Bengal Municipal Act, 1884"
138,1 of 2,"It is companymon ground that the Defence of India Act, 1939"
,2 of 2,"Notwithstanding the expiration of the Defence of India Act, 1939"
139,1 of 1,"It deals with section 205 of the Government of India Act, 1935"
140,1 of 1,"Court. Section 77 of the Representation of the People Act, 1951"
141,1 of 13,Once the fac
,2 of 13,Supreme-Court. Shri Shareef replied he has stated fac
,3 of 13,Evacuee Property and the police were taking wrongful ac
,4 of 13,That decision therefore stands. The fac
,5 of 13,Indian case-law before they companyld hold that the ac
,6 of 13,Court in the past. This one ac
,7 of 13,State that Zikar had suppressed material fac
,8 of 13,"August, 1950, stating certain fac"
,9 of 13,It is number the prac
,10 of 13,Court and companymitted companytempt either in fac
,11 of 13,"October, 1950, quite companytrary to fac"
,12 of 13,Court granted the interim order of prohibition against the ac
,13 of 13,High Court have numberapplication to cases of this charac
142,1 of 2,"Government of India Act, 1935"
,2 of 2,"Travancore Public Servants Inquiries Act, 1122"
143,1 of 4,Indian Companies Act
,2 of 4,Appellate Tribunal under section 66 1 of the Income-tax Act
,3 of 4,According to section 4 of the Indian Sale of Goods Act
,4 of 4,Section 18 of the Act
144,1 of 1,Section 61 of the Indian Succession Act Act
145,1 of 6,The appellant was also detained under the Public Securities Act
,2 of 6,Sea Customs Act
,3 of 6,Bombay District Police Act
,4 of 6,Police Act and number under an Act
,5 of 6,Proceedings under action 20 of the Indian Telegraph Act
,6 of 6,It is an offence under the local Police Act
146,1 of 1,"Finance No. 2 Act, 1915"
147,1 of 1,British India within the meaning of Section 4 1 of the Act
148,1 of 1,"England by section 17 2 of the Bills of Exchange Act, 1882"
149,1 of 1,"Bombay Land Requisition Act, 1948"
150,1 of 3,"Kendrapara Municipality under the Orissa Municipal Act, 1950"
,2 of 3,"This Act may be called the Orissa Municipal Act, 1950"
,3 of 3,"Court. The Orissa Municipal Act, 1950"
151,1 of 1,Limitation Act
152,1 of 1,"Taxation on Income Investigation Commission Act, 1947"
153,1 of 6,Registrar authenticated Exhibit B under section 33 of the Act
,2 of 6,Registration Act
,3 of 6,Provinces in which this Act
,4 of 6,Madras impartable Estates Act
,5 of 6,Madras Impartible Estates Act
,6 of 6,"Baijnath 2 that, the terms of sections 32 and 33 of Act"
154,1 of 3,"Before companycluding, it observed The Court Fees Act"
,2 of 3,Civil Procedure Code and section 11 of the Suits Valuation Act
,3 of 3,The language of section 11 of the Suits Valuation Act
155,1 of 1,Transfer of Property Act
156,0 of 0,Empty
157,0 of 0,Empty
158,1 of 7,Gurmej Singh as his adopted son. This fac
,2 of 7,Brij Raj Saran Singh  2 . The first question regarding the fac
,3 of 7,"Customary Law in the Punjab, adoption is secular in charac"
,4 of 7,Judge and the District Judge on appeal held that the fac
,5 of 7,The essence of adoption is that the fac
,6 of 7,Under the Hindu Law adoption is primarily a religious ac
,7 of 7,The usual prac
159,0 of 0,Empty
160,1 of 1,"Cinematograph Act, 1918"
161,1 of 3,"Government of India Act, 1935"
,2 of 3,"He points out that the validity of the Bihar Land Reforms Act, 1950"
,3 of 3,"Bombay Taluqdari Tenure Abolition Act, 1949"
162,1 of 3,Section 123 8 of Act
,2 of 3,Act 49 of 1951 read along with Section 7 d of Act
,3 of 3,State Legislatures under Section 17 of Act
163,1 of 1,Indian Evidence Act
164,1 of 1,"State Road Transport Act, 1951"
165,1 of 1,"Taxation on Income Investigation Commission Act, 1947"
166,1 of 2,"Ninth Schedule of the Government of India Act, 1935"
,2 of 2,"Government of India Act, 1915"
167,1 of 4,"Act, section 38 2 was inserted in the Interpretation Act, 1889"
,2 of 4,"Government of India Act, 1935"
,3 of 4,"Interpretation Act, 1889, or in the General Clauses Act, 1897"
,4 of 4,"Indian Press Emergency Powers Act, 1931"
168,1 of 4,"April, 1950, under the Preven- tive Detention Act, 1950"
,2 of 4,"In pursuance of section 7 of the Preventive Detention Act, 1950"
,3 of 4,"December, 1948, under the Bombay Public Security Measures Act, 1948"
,4 of 4,"Central Provinces and Berar Public Safety Act, 1948"
169,1 of 2,"Government of India Act, 1935"
,2 of 2,"Patiala law including the Patiala Income Tax Act, 2001"
170,1 of 3,"Constitution. Under the Bengal Criminal Law Amendment Act, 1930"
,2 of 3,"The detention orders under the Preventive Detention Act, 1950"
,3 of 3,"February, 1950. The Preventive Detention Act, 1950"
171,1 of 1,"Bihar Buildings Lease, Rent and Eviction Control Act, 1947"
172,0 of 0,Empty
173,1 of 3,Act and under article 14 of the Indian Limitation Act
,2 of 3,Government may prescribe in this behalf After the Act
,3 of 3,Revenue Jurisdiction Act
174,1 of 16,Nizam enac
,2 of 16,State expense for my defence. In fac
,3 of 16,Court. Whether it was so or number was as much a matter of fac
,4 of 16,From the fac
,5 of 16,Upon these fac
,6 of 16,Passing number to the fac
,7 of 16,"Sessions, the learned Judge observed-- This is true as a fac"
,8 of 16,That is number to be governed by the inquiry whether the fac
,9 of 16,Chapter XXXII. It is well settled that if a companyrt ac
,10 of 16,"In Nalgonda, there are about 40 prac"
,11 of 16,"In the third case  Criminal Case No. 18 , the fac"
,12 of 16,It is argued that we are asked number to reopen a past transac
,13 of 16,While the fac
,14 of 16,Special Tribunal. In fac
,15 of 16,In view of this fac
,16 of 16,"Petitions Nos. 2297, 2298 and 2299 of 1950. The fac"
175,1 of 1,Indian Limitation Act
176,1 of 10,Under section 6 of the Act
,2 of 10,Part 1 of the Indian Criminal Law Amendment Act
,3 of 10,Procedure Code is unsound. The proviso to section 3 of the Act
,4 of 10,Criminal Procedure Code. The proviso to sec- tion 3 of the Act
,5 of 10,"Corruption. Act II of 1947 , hereafter referred to as the Act"
,6 of 10,Special Magis- trate to try offences under the Act
,7 of 10,Criminal Procedure Code and section 6 of the Act
,8 of 10,Magistrate under section 3 of the Act
,9 of 10,Code and section 6 of the Prevention of Corruption. Act
,10 of 10,Prevention of Corrup- tion Act
177,1 of 6,"Tanjore, claiming relief under the Agriculturists Relief Act"
,2 of 6,Act alongside the provisions of the Transfer of Property Act
,3 of 6,Madras Agriculturists Relief Act
,4 of 6,Madras Agricultur- ists Relief Act Act
,5 of 6,"No. 1, he was held entitled to numberrelief under the Act"
,6 of 6,Madras Agricul- turists Relief Act
178,1 of 1,Legislative or Executive Act
179,1 of 1,"Magistrate of Delhi, under the Preventive Detention Act, 1950"
180,1 of 1,Limitation Act
181,1 of 1,"Bombay City Land Revenue Act, 1876"
182,1 of 2,"Act repealed hereby or under the Indian Income-tax Act, 1886"
,2 of 2,"Section 66 1 of the Indian Income-tax Act, 1922"
183,1 of 3,"Sub- section 1 of section 299 of the Government of India Act, 1935"
,2 of 3,"Indian Compa- nies Act, 1882"
,3 of 3,"Section 299 1 of the Government of India Act, 1935"
184,0 of 0,Empty
185,1 of 22,It says that for the purposes of the Act
,2 of 22,Rights to Property Act Act XVIII of 1937 as amended by Act
,3 of 22,"Thus, there is numberhing in any of the provisions of the Act"
,4 of 22,Hindu Womens Rights to Property Act Act
,5 of 22,Act of 1938. The language of section 5 of the Act
,6 of 22,Judge to the limited objective of the Act
,7 of 22,Rights to Property Act affords a clear indication that the Act
,8 of 22,"Hindu law, and as the Hindu Womens Rights to Property Act"
,9 of 22,The trial companyrt held first that the Act
,10 of 22,For the purposes of this Act
,11 of 22,Hindu Womens Rights to Property Act and see whether the Act
,12 of 22,Turning number to the Hindu Womens Rights to Property Act
,13 of 22,Indian Succession Act
,14 of 22,While the general law number been changed by reason of Act
,15 of 22,"Property Act, it will be seen that the object of the Act"
,16 of 22,"This section, it may be numbered, was added by the amending Act"
,17 of 22,The only other section in the Act
,18 of 22,Hindu Law. Assuming that the word property in Act
,19 of 22,Section 2 of the Act
,20 of 22,Judge is that the Hindu Womens Rights Property Act
,21 of 22,Act which excludes from the scope of operation of the Act
,22 of 22,Hindu womans estate Section 4 lays down that the Act
186,0 of 0,Empty
187,1 of 8,To claim exemption under section 20 of the Limitation Act
,2 of 8,Article 116 of the Limitation Act
,3 of 8,Bom. 453 . declared in section 3 of the Limitation Act
,4 of 8,"Limitation Act. The section, after it was amended by Act"
,5 of 8,Limita- tion Act
,6 of 8,Limi- tation Act
,7 of 8,Indian Limitation Act
,8 of 8,Limitarian Act
188,1 of 1,"Section 3 of the Preventive Detention Act, 1950"
189,1 of 22,Treat this as peremptory and ac
,2 of 22,Ali during the period of Mr. Clevelands management and the fac
,3 of 22,Sanad there was in fac
,4 of 22,Zamindars would have been wholly inappropriate. The fac
,5 of 22,Sukhwara and it is urged that if Captain Browne had been ac
,6 of 22,Ghat- walis were treated as Government Ghatwalis. The fac
,7 of 22,They should treat this as peremptory and ac
,8 of 22,Ghatwali tenure and companytinued to be so and was in fac
,9 of 22,Privy Council. Although the exac
,10 of 22,The High Court held that the companytrac
,11 of 22,Ghatwali grants and indeed such as is in fac
,12 of 22,Ghatwal. On a companysideration of the fac
,13 of 22,"Sanad, but the matter does number in fac"
,14 of 22,Sardar of the Jungle Terai Captain Browne was ac
,15 of 22,There may be a mere personal companytrac
,16 of 22,Judge of Bhagalpur in Mis. Case No. 174 of 1939. The fac
,17 of 22,"Gover- number-General came in 1781, the Mahalat was ac"
,18 of 22,"Of late also,  the said tenure  being upheld and kept intac"
,19 of 22,"Captain Browne, undoubtedly ac"
,20 of 22,"Ghatwali lands. Further, Captain Browne in his book India Trac"
,21 of 22,Captain Brownes Sanad. The further significant fac
,22 of 22,Lord Sumner said - In the Sonthai Parganas there are for prac
190,1 of 4,"Trade disputes Act, 1929"
,2 of 4,"Industrial Disputes Act, 1947"
,3 of 4,"It is worthy of numbere that in the Trade Disputes Act, 1929"
,4 of 4,"Indian Trade Unions Act, 1926"
191,1 of 9,Insolvency Act or by the Provincial Insolvency Act
,2 of 9,The relevant sections of the two Insolvency Act
,3 of 9,Ch. VI of the Indian Evidence Act
,4 of 9,Court under s. 55 of the Presidency-towns Insolvency Act
,5 of 9,"This section, like s. 53-A of the Provincial Insolvency Act"
,6 of 9,Presidency towns Insolvency Act
,7 of 9,"Insolvency Act ? It is true that, under s. 17 of the Act"
,8 of 9,Evidence Act. Chapter VI of the Evidence Act
,9 of 9,"Similarly, under s. 54-A of the Provincial Insolvency Act"
192,1 of 4,"Industrial Disputes Act, 1947"
,2 of 4,Act. 1163
,3 of 4,"It is worthy of numbere that in the Trade Disputes Act, 1929"
,4 of 4,"Indian Trade Unions Act, 1926"
193,1 of 1,"Indian Income-tax Act, 1922"
194,1 of 5,"Indian Sale of Goods Act, 1930"
,2 of 5,"Central Provinces and Berar Sales Tax Act, 1947"
,3 of 5,"The Delhi Laws Act, 1912"
,4 of 5,"Tariff Act, 1922"
,5 of 5,"Entry 48 of List 11, Sch. VII of the Government of India Act, 1935"
195,1 of 4,"By that Proclamation, the Indian Limitation Act"
,2 of 4,General Clauses Act
,3 of 4,Act. Sub-section 1 of section 14 of the Limitation Act
,4 of 4,Art. 142 of the Limitation Act
196,1 of 7,Section 28 of the Pre-emption Act
,2 of 7,Section 13 Whenever according to the provisions of this Act
,3 of 7,Act. Relevant provisions of the Act
,4 of 7,Punjab Pre-emption Act
,5 of 7,Pre- emption Act
,6 of 7,Pre-emption Act hereinafter to be referred to as the -Act
